name,size,total perp,key perp,value perp,other perp
/workspace/llm_tg/runs/LR0.0005-k3000-linear_Standard/16.09.24_shuffle-True_wl-1/airline/NonDP/GPT2/entire/ts103904-bs32-epoch10/eval.txt,24976,1.6220039592681743,1.6789549542901323,2.8653670766537105,1.0026410521737368
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage1-airline_wl-1/adult/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,16858,1.701350346835137,2.1898876751524807,2.391138202315445,1.0097833201349715
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage1-airline_wl-1/airline-uniform/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,16858,8750.274941080717,2367640.39607021,190525.6725857618,4.238998323190901
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage2-adult_entire_uniform-using-adult-uniform_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/adult/DP/GPT2/entire/ts30932-bs32-epoch10-mbs32-eps1-clip1/eval.txt,16858,1.824999414363508,2.192772795459417,2.9688897226872104,1.011440445980838
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage2-adult_entire_uniform-using-adult-uniform_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/adult/DP/GPT2/entire/ts30932-bs32-epoch10-mbs32-eps8-clip1/eval.txt,16858,1.8131973166001287,2.191363393701601,2.911559561692529,1.0112936645386978
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-False_stage2-airline_entire_ood-using-adult_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps1-clip1/eval.txt,24976,1.3042111647159802,1.0001112831010974,3.736836696486463,1.0085499593568978
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-False_stage2-airline_entire_ood-using-adult_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps8-clip1/eval.txt,24976,1.2942345388949454,1.0000261999424458,3.6024229984762672,1.007373227769483
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-False_stage1-airline_wl-1/adult/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,16858,1.31860474292296,1.0000518348834369,2.375470900162375,1.0003053327184197
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-False_stage1-airline_wl-1/airline-uniform/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,24976,1.546201760401652,1.002588890119916,6.636498979422623,1.2292925476918033
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage1-adult_wl-1/adult-uniform/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,16858,2.488797221144772,2.189990141619073,7.341725553554698,1.0726946153507768
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage1-adult_wl-1/airline/NonDP/GPT2/entire/ts30932-bs32-epoch5/eval.txt,24976,1.6585739052216388,1.681159017762817,3.1913423799367617,1.00297894030604
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage2-airline_entire_uniform-using-airline-uniform_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps1-clip1/eval.txt,24976,1.7301321725019876,1.696243191577049,3.830321243090072,1.0070041445971198
/workspace/llm_tg/runs/LR0.0005-linear_2Stage/16.09.24_shuffle-True_stage2-airline_entire_uniform-using-airline-uniform_ts30932-bs32-epoch5-pretrain-stage1-for-epoch5_wl0.65/airline/DP/GPT2/entire/ts103904-bs32-epoch10-mbs32-eps8-clip1/eval.txt,24976,1.715972839444497,1.69094191668426,3.709816247936745,1.00631577850371
