Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
       115	  0.827494	 24.787283	  6.950943	  5.222363	 38.302794	  1.658787	
       116	  0.827512	 21.715899	  6.864242	  5.159772	 37.579615	  1.648076	
       117	  0.827530	 21.971884	  6.781277	  5.094320	 36.844343	  1.641726	
       118	  0.827548	 21.620966	  6.700489	  5.031249	 36.095847	  1.637018	
       119	  0.827567	 22.406325	  6.621338	  4.967658	 35.412336	  1.630944	
       120	  0.827585	 21.697728	  6.548020	  4.900239	 34.703463	  1.631975	
       121	  0.827603	 20.381798	  6.479589	  4.836657	 34.064489	  1.632412	
       122	  0.827621	 20.004302	  6.412959	  4.778845	 33.471410	  1.630279	
       123	  0.827639	 21.021066	  6.348919	  4.725498	 32.829399	  1.631272	
       124	  0.827657	 20.813595	  6.285869	  4.671474	 32.228542	  1.631519	
       125	  0.827676	 23.399256	  6.224059	  4.624130	 31.685712	  1.627624	
       126	  0.827694	 19.050766	  6.162899	  4.568642	 31.169855	  1.625962	
       127	  0.827712	 19.498855	  6.108014	  4.525942	 30.723955	  1.621141	
       128	  0.827730	 19.754348	  6.047067	  4.482635	 30.270349	  1.612162	
       129	  0.827748	 19.078211	  5.988079	  4.440963	 29.828482	  1.603606	
       130	  0.827766	 17.525517	  5.932245	  4.401215	 29.433788	  1.594397	
       131	  0.827785	 18.286058	  5.876636	  4.364100	 29.051235	  1.583775	
       132	  0.827803	 18.971726	  5.824170	  4.324934	 28.651732	  1.577469	
       133	  0.827821	 17.085650	  5.774882	  4.291410	 28.309059	  1.568566	
       134	  0.827839	 17.236122	  5.728673	  4.254992	 27.938000	  1.564932	
       135	  0.827857	 15.958755	  5.682276	  4.220195	 27.546114	  1.561816	
       136	  0.827875	 17.400222	  5.635125	  4.181574	 27.187855	  1.557692	
       137	  0.827894	 16.690709	  5.593104	  4.151943	 26.838978	  1.553993	
       138	  0.827912	 16.208817	  5.551957	  4.121635	 26.487441	  1.551538	
       139	  0.827930	 17.280956	  5.509526	  4.090079	 26.129890	  1.548940	
       140	  0.827948	 16.281178	  5.466685	  4.049919	 25.780596	  1.548956	
       141	  0.827966	 17.886919	  5.419829	  4.009429	 25.392217	  1.548188	
       142	  0.827984	 15.914688	  5.374915	  3.966600	 25.041724	  1.547856	
       143	  0.828003	 16.785832	  5.329320	  3.933590	 24.718123	  1.541445	
       144	  0.828021	 15.148434	  5.286903	  3.895161	 24.394632	  1.540077	
       145	  0.828039	 13.958107	  5.245364	  3.860674	 24.075289	  1.537743	
       146	  0.828057	 15.305370	  5.203638	  3.826819	 23.769781	  1.534192	
       147	  0.828075	 14.940624	  5.165186	  3.794840	 23.497986	  1.530675	
       148	  0.828093	 15.844208	  5.128535	  3.760269	 23.273625	  1.526781	
       149	  0.828112	 14.845265	  5.090044	  3.726667	 23.041741	  1.521363	
       150	  0.828130	 14.619094	  5.049625	  3.691849	 22.774432	  1.517121	
       151	  0.828148	 15.341045	  5.012107	  3.650274	 22.575347	  1.513831	
