Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
       304	None      	  1.343540	  1.437490	  1.000005	  2.970220	  1.000055	
       305	None      	  1.339678	  1.438419	  1.000005	  2.975944	  1.000069	
       306	None      	  1.333147	  1.438062	  1.000005	  2.973658	  1.000092	
       307	None      	  1.336963	  1.434839	  1.000005	  2.953624	  1.000121	
       308	None      	  1.362938	  1.431112	  1.000005	  2.930548	  1.000163	
       309	None      	  1.348791	  1.430326	  1.000005	  2.925629	  1.000196	
       310	None      	  1.339140	  1.431794	  1.000005	  2.934504	  1.000243	
       311	None      	  1.338603	  1.434959	  1.000005	  2.953786	  1.000320	
       312	None      	  1.351994	  1.441269	  1.000005	  2.992872	  1.000337	
       313	None      	  1.364418	  1.446562	  1.000005	  3.025879	  1.000368	
       314	None      	  1.350470	  1.450611	  1.000005	  3.051406	  1.000351	
       315	None      	  1.345228	  1.455583	  1.000005	  3.082994	  1.000317	
       316	None      	  1.349296	  1.460987	  1.000005	  3.117605	  1.000270	
       317	None      	  1.340790	  1.463013	  1.000005	  3.130614	  1.000263	
       318	None      	  1.351157	  1.462103	  1.000005	  3.124878	  1.000229	
       319	None      	  1.370903	  1.462075	  1.000005	  3.124798	  1.000197	
       320	None      	  1.352735	  1.462174	  1.000005	  3.125622	  1.000136	
       321	None      	  1.342191	  1.464870	  1.000005	  3.143092	  1.000088	
       322	None      	  1.339053	  1.463535	  1.000005	  3.134603	  1.000058	
       323	None      	  1.343592	  1.462842	  1.000005	  3.130197	  1.000042	
       324	None      	  1.343070	  1.463693	  1.000005	  3.135694	  1.000034	
       325	None      	  1.352880	  1.463932	  1.000005	  3.137237	  1.000030	
       326	None      	  1.313922	  1.464127	  1.000005	  3.138497	  1.000028	
       327	None      	  1.358566	  1.465102	  1.000004	  3.144780	  1.000027	
       328	None      	  1.368766	  1.464967	  1.000004	  3.143912	  1.000026	
       329	None      	  1.343665	  1.463818	  1.000004	  3.136521	  1.000027	
       330	None      	  1.333013	  1.462366	  1.000004	  3.127193	  1.000027	
       331	None      	  1.344690	  1.461620	  1.000004	  3.122410	  1.000028	
       332	None      	  1.353572	  1.459341	  1.000003	  3.107827	  1.000029	
       333	None      	  1.328641	  1.456249	  1.000003	  3.088113	  1.000029	
       334	None      	  1.341488	  1.455466	  1.000003	  3.083134	  1.000029	
       335	None      	  1.354976	  1.456470	  1.000003	  3.089522	  1.000027	
       336	None      	  1.359625	  1.458192	  1.000003	  3.100496	  1.000027	
       337	None      	  1.326787	  1.460821	  1.000003	  3.117301	  1.000026	
       338	None      	  1.333840	  1.463083	  1.000004	  3.131801	  1.000026	
       339	None      	  1.359921	  1.461780	  1.000004	  3.123445	  1.000025	
       340	None      	  1.370954	  1.458357	  1.000004	  3.101549	  1.000026	
       341	None      	  1.357864	  1.456123	  1.000005	  3.087312	  1.000026	
       342	None      	  1.365048	  1.452083	  1.000005	  3.061683	  1.000028	
       343	None      	  1.338706	  1.448239	  1.000005	  3.037423	  1.000030	
       344	None      	  1.365137	  1.443594	  1.000005	  3.008279	  1.000034	
       345	None      	  1.344816	  1.441331	  1.000005	  2.994143	  1.000039	
       346	None      	  1.359049	  1.440908	  1.000006	  2.991489	  1.000044	
       347	None      	  1.350795	  1.440172	  1.000006	  2.986869	  1.000056	
       348	None      	  1.354483	  1.440995	  1.000006	  2.991957	  1.000068	
       349	None      	  1.363328	  1.441261	  1.000006	  2.993612	  1.000070	
       350	None      	  1.354852	  1.440325	  1.000006	  2.987813	  1.000059	
       351	None      	  1.337880	  1.439910	  1.000006	  2.985271	  1.000045	
       352	None      	  1.321073	  1.443834	  1.000005	  3.009772	  1.000036	
       353	None      	  1.342750	  1.448874	  1.000005	  3.041417	  1.000031	
       354	None      	  1.332970	  1.453389	  1.000005	  3.069952	  1.000028	
       355	None      	  1.343003	  1.458210	  1.000004	  3.100612	  1.000025	
       356	None      	  1.341862	  1.463671	  1.000004	  3.135585	  1.000023	
       357	None      	  1.336466	  1.465361	  1.000004	  3.146460	  1.000023	
       358	None      	  1.357125	  1.467944	  1.000004	  3.163123	  1.000025	
       359	None      	  1.384445	  1.467370	  1.000003	  3.159404	  1.000028	
       360	None      	  1.348704	  1.467844	  1.000003	  3.162457	  1.000031	
       361	None      	  1.343014	  1.464399	  1.000003	  3.140254	  1.000029	
       362	None      	  1.334949	  1.462357	  1.000003	  3.127146	  1.000026	
       363	None      	  1.350531	  1.458949	  1.000003	  3.105338	  1.000024	
       364	None      	  1.356384	  1.455692	  1.000003	  3.084590	  1.000023	
       365	None      	  1.349508	  1.454518	  1.000003	  3.077136	  1.000023	
       366	None      	  1.348152	  1.453302	  1.000003	  3.069421	  1.000023	
       367	None      	  1.348147	  1.452910	  1.000003	  3.066939	  1.000024	
       368	None      	  1.334263	  1.451558	  1.000003	  3.058379	  1.000025	
       369	None      	  1.355464	  1.446281	  1.000003	  3.025145	  1.000025	
       370	None      	  1.365993	  1.437534	  1.000003	  2.970591	  1.000025	
       371	None      	  1.336119	  1.426526	  1.000003	  2.902863	  1.000025	
       372	None      	  1.333446	  1.420516	  1.000003	  2.866329	  1.000025	
       373	None      	  1.344205	  1.416332	  1.000003	  2.841072	  1.000026	
       374	None      	  1.357039	  1.414857	  1.000003	  2.832204	  1.000027	
