Step     	Epsilon  	Train Perp	Perp     	Key Perp 	Val Perp 	Other Perp	
       115	  0.827494	  2.716407	  1.702011	  1.000001	  4.929840	  1.000125	
       116	  0.827512	  2.668668	  1.700316	  1.000001	  4.915125	  1.000127	
       117	  0.827530	  2.441729	  1.698659	  1.000001	  4.900758	  1.000128	
       118	  0.827548	  2.550887	  1.696877	  1.000001	  4.885350	  1.000129	
       119	  0.827567	  2.600995	  1.695291	  1.000001	  4.871655	  1.000131	
       120	  0.827585	  2.552810	  1.693560	  1.000001	  4.856733	  1.000133	
       121	  0.827603	  2.560414	  1.691915	  1.000001	  4.842590	  1.000134	
       122	  0.827621	  2.525803	  1.690273	  1.000001	  4.828509	  1.000133	
       123	  0.827639	  2.472326	  1.688581	  1.000001	  4.814023	  1.000133	
       124	  0.827657	  2.516604	  1.686963	  1.000001	  4.800201	  1.000133	
       125	  0.827676	  2.609384	  1.685043	  1.000001	  4.783818	  1.000134	
       126	  0.827694	  2.590742	  1.683304	  1.000001	  4.769016	  1.000136	
       127	  0.827712	  2.619954	  1.681484	  1.000001	  4.753559	  1.000137	
       128	  0.827730	  2.506186	  1.679658	  1.000001	  4.738082	  1.000138	
       129	  0.827748	  2.497904	  1.677811	  1.000002	  4.722448	  1.000142	
       130	  0.827766	  2.495000	  1.676146	  1.000002	  4.708396	  1.000145	
       131	  0.827785	  2.534655	  1.674281	  1.000002	  4.692689	  1.000146	
       132	  0.827803	  2.559095	  1.672408	  1.000002	  4.676945	  1.000148	
       133	  0.827821	  2.359340	  1.670589	  1.000002	  4.661688	  1.000150	
       134	  0.827839	  2.469675	  1.668658	  1.000002	  4.645532	  1.000153	
       135	  0.827857	  2.447403	  1.666691	  1.000002	  4.629106	  1.000156	
       136	  0.827875	  2.440637	  1.664830	  1.000002	  4.613604	  1.000159	
       137	  0.827894	  2.448625	  1.662864	  1.000002	  4.597276	  1.000160	
       138	  0.827912	  2.439622	  1.661052	  1.000002	  4.582244	  1.000165	
       139	  0.827930	  2.432276	  1.659158	  1.000002	  4.566577	  1.000167	
       140	  0.827948	  2.523299	  1.657253	  1.000003	  4.550857	  1.000169	
       141	  0.827966	  2.438338	  1.655329	  1.000003	  4.535017	  1.000171	
       142	  0.827984	  2.369870	  1.653356	  1.000003	  4.518804	  1.000173	
       143	  0.828003	  2.448987	  1.651417	  1.000003	  4.502910	  1.000175	
       144	  0.828021	  2.458044	  1.649462	  1.000003	  4.486940	  1.000176	
       145	  0.828039	  2.374790	  1.647667	  1.000003	  4.472292	  1.000179	
       146	  0.828057	  2.334137	  1.645783	  1.000003	  4.456958	  1.000180	
       147	  0.828075	  2.375310	  1.644025	  1.000004	  4.442689	  1.000182	
       148	  0.828093	  2.368312	  1.642295	  1.000004	  4.428658	  1.000186	
       149	  0.828112	  2.298444	  1.640752	  1.000004	  4.416175	  1.000189	
       150	  0.828130	  2.344673	  1.639005	  1.000004	  4.402054	  1.000195	
       151	  0.828148	  2.386763	  1.637236	  1.000004	  4.387794	  1.000199	
       152	  0.828166	  2.366718	  1.635677	  1.000004	  4.375255	  1.000203	
       153	  0.828184	  2.362667	  1.634046	  1.000005	  4.362158	  1.000208	
       154	  0.828202	  2.338161	  1.632615	  1.000005	  4.350678	  1.000214	
